corporate_name_S2,main_customers,revenue,profit,country,postal_code,industry_sector,fiscal_year
Corp_FJQPO_0,"['Customer_OHV', 'Customer_SDJ', 'Customer_OWL']",406260530.01,25733433.78,Germany,856167,Automotive,2022
Corp_DYYUZ_1,"['Customer_HOE', 'Customer_IXH', 'Customer_GKF']",394009726.79,54195249.93,France,211576,Technology,2021
Corp_JCUHC_2,"['Customer_VFB', 'Customer_GTI', 'Customer_BCS']",29599175.43,6452712.63,Japan,831611,Technology,2021
Corp_JFWXE_3,"['Customer_TPA', 'Customer_BHW', 'Customer_XQL']",277579338.48,36580022.78,France,697006,Energy,2024
Corp_ZKHTM_4,"['Customer_DCZ', 'Customer_GQP', 'Customer_KFH']",369377901.52,48358561.52,USA,493719,Manufacturing,2021
Corp_KERKZ_5,"['Customer_RDL', 'Customer_RBK', 'Customer_GOE']",30624584.48,7030145.88,France,444897,Technology,2021
Corp_GTPHO_6,"['Customer_EJX', 'Customer_BKJ', 'Customer_GQX']",81933668.78,8054651.56,UK,932628,Retail,2023
Corp_XKYFK_7,"['Customer_HHG', 'Customer_JRN', 'Customer_LIK']",166172837.35,39898504.09,India,354511,Pharmaceuticals,2021
Corp_RULVW_8,"['Customer_GYL', 'Customer_PKM', 'Customer_WVS']",464361543.61,113490688.95,France,355051,Automotive,2021
Corp_DGVCG_9,"['Customer_LRQ', 'Customer_BRL', 'Customer_ZDF']",469264520.5,89924584.96,India,868744,Automotive,2022
Corp_GEJCZ_10,"['Customer_SNA', 'Customer_OOE', 'Customer_BSE']",285066077.65,58880827.76,Canada,877376,Retail,2023
Corp_ESMFO_11,"['Customer_BDO', 'Customer_DCV', 'Customer_FZQ']",437531015.7,79199522.5,Australia,40956,Manufacturing,2024
Corp_KAIVY_12,"['Customer_BXD', 'Customer_WSA', 'Customer_UKC']",443352137.48,86093099.25,Canada,846998,Pharmaceuticals,2021
Corp_IYOTV_13,"['Customer_IBS', 'Customer_RSZ', 'Customer_WPP']",19497584.37,1292081.87,India,276452,Energy,2024
Corp_TXGQD_14,"['Customer_UFN', 'Customer_PSV', 'Customer_ALK']",471058674.83,55481881.32,France,909092,Energy,2021
Corp_BZVNN_15,"['Customer_YDY', 'Customer_YZY', 'Customer_FWV']",474353092.79,33040237.02,UK,308507,Manufacturing,2023
Corp_MAWDW_16,"['Customer_DSB', 'Customer_OGT', 'Customer_IPC']",78323103.9,10404757.13,France,414624,Automotive,2022
Corp_QOECH_17,"['Customer_OLW', 'Customer_RDW', 'Customer_KTW']",369687447.07,81371128.7,UK,742452,Retail,2023
Corp_EOQGS_18,"['Customer_LHY', 'Customer_XFA', 'Customer_MEL']",198446009.39,25005810.16,Australia,863640,Pharmaceuticals,2023
Corp_VUNNZ_19,"['Customer_MAH', 'Customer_CJZ', 'Customer_QLF']",266577337.88,18989218.96,USA,599834,Pharmaceuticals,2022
Corp_COVJR_20,"['Customer_DYD', 'Customer_ABF', 'Customer_DNS']",181909158.18,12048258.32,USA,223880,Energy,2023
Corp_BRBIQ_21,"['Customer_UBX', 'Customer_BWX', 'Customer_TDJ']",414935791.22,44223908.57,USA,399429,Automotive,2021
Corp_FBBQU_22,"['Customer_YLP', 'Customer_TSJ', 'Customer_QTR']",100689847.16,10389499.1,Australia,167989,Retail,2021
Corp_EIDLQ_23,"['Customer_UYH', 'Customer_UNW', 'Customer_KKZ']",418048914.1,84881912.08,Germany,487832,Technology,2022
Corp_ZFMDL_24,"['Customer_IYP', 'Customer_DKJ', 'Customer_LHE']",77653686.89,8825065.34,USA,805667,Pharmaceuticals,2021
Corp_ZHLWJ_25,"['Customer_ZSH', 'Customer_POM', 'Customer_AXB']",412613286.61,28923853.99,India,573497,Automotive,2022
Corp_OQQRV_26,"['Customer_NUK', 'Customer_OZQ', 'Customer_QCR']",469811588.73,111858014.71,UK,728276,Manufacturing,2022
Corp_KYVRD_27,"['Customer_EKL', 'Customer_UBR', 'Customer_TZZ']",107915357.95,23199158.86,India,508383,Automotive,2023
Corp_DKKRU_28,"['Customer_KZW', 'Customer_NBS', 'Customer_OKH']",374697930.23,86813775.98,Canada,777393,Technology,2023
Corp_BFXAC_29,"['Customer_CEA', 'Customer_GHB', 'Customer_UCP']",435359227.16,35121354.01,Australia,473213,Pharmaceuticals,2023
Corp_QAPCY_30,"['Customer_JXL', 'Customer_PGR', 'Customer_IAW']",70210750.35,5959166.76,Australia,988642,Automotive,2021
Corp_SXPWB_31,"['Customer_NJT', 'Customer_HHA', 'Customer_VWR']",240326126.02,43625376.34,Germany,824899,Technology,2022
Corp_LGDQH_32,"['Customer_IRF', 'Customer_UZV', 'Customer_TUO']",86129015.67,6712004.79,UK,853765,Automotive,2022
Corp_ZNAJO_33,"['Customer_AMC', 'Customer_MYA', 'Customer_HXA']",109085568.31,11759124.28,Germany,607085,Retail,2023
Corp_SGDAC_34,"['Customer_KAK', 'Customer_ZZU', 'Customer_HBE']",131724713.78,32882031.46,India,316047,Retail,2022
Corp_LWLVF_35,"['Customer_GSV', 'Customer_RYN', 'Customer_KQH']",180317349.02,31380668.8,France,358823,Automotive,2022
Corp_QVPWC_36,"['Customer_KAV', 'Customer_FXM', 'Customer_CPK']",364214267.91,34371926.41,India,632830,Retail,2023
Corp_SLAWC_37,"['Customer_GJZ', 'Customer_PCX', 'Customer_IZZ']",285229850.95,68983573.23,Australia,946341,Energy,2023
Corp_DEXDE_38,"['Customer_LMO', 'Customer_UFA', 'Customer_SUB']",32939074.91,6093166.64,Germany,38634,Automotive,2021
Corp_VAGTY_39,"['Customer_YNV', 'Customer_IUC', 'Customer_SRK']",211733384.64,13643746.42,Canada,491701,Pharmaceuticals,2024
Corp_WURCD_40,"['Customer_LBK', 'Customer_KFS', 'Customer_HIT']",271849647.07,58065011.99,Germany,771186,Pharmaceuticals,2022
Corp_EXMJU_41,"['Customer_MIL', 'Customer_OYY', 'Customer_NZW']",209329828.93,15203372.55,Germany,724739,Retail,2023
Corp_DZWWV_42,"['Customer_LDG', 'Customer_MXB', 'Customer_RFZ']",225387025.2,46098979.38,UK,201113,Manufacturing,2023
Corp_LMAMX_43,"['Customer_MGR', 'Customer_LZX', 'Customer_PHL']",70693139.8,16460727.96,UK,513902,Pharmaceuticals,2021
Corp_YTHBP_44,"['Customer_QNW', 'Customer_NSX', 'Customer_LGG']",431946996.59,79944579.42,Canada,947400,Technology,2023
Corp_WDZCO_45,"['Customer_LZR', 'Customer_QOL', 'Customer_YEA']",236265751.85,14891857.43,UK,548780,Technology,2023
Corp_NUADN_46,"['Customer_QRW', 'Customer_QQK', 'Customer_TVW']",111120219.04,13873911.54,UK,159638,Technology,2022
Corp_VQHGX_47,"['Customer_LGF', 'Customer_KFQ', 'Customer_MLY']",459455492.83,85599365.33,Canada,757478,Manufacturing,2022
Corp_JAVGD_48,"['Customer_HNY', 'Customer_ZPG', 'Customer_LUM']",165914388.15,23721203.56,Japan,189738,Automotive,2023
Corp_FLHNU_49,"['Customer_NIK', 'Customer_UHN', 'Customer_KTC']",421128359.86,27769400.62,Canada,115277,Energy,2021
Corp_FUUIF_50,"['Customer_QLY', 'Customer_PHH', 'Customer_BWK']",232577819.48,50643604.64,UK,144840,Technology,2024
Corp_CFETN_51,"['Customer_FDX', 'Customer_DKQ', 'Customer_ABK']",215904081.72,19961857.67,Germany,391636,Pharmaceuticals,2021
Corp_OUVFE_52,"['Customer_SSU', 'Customer_SQY', 'Customer_CIH']",291999422.21,46567277.86,UK,83129,Manufacturing,2022
Corp_ARAZE_53,"['Customer_DTM', 'Customer_MUA', 'Customer_MME']",426369713.59,101862373.96,Australia,352870,Pharmaceuticals,2022
Corp_GNDWS_54,"['Customer_DBM', 'Customer_AHF', 'Customer_ZLG']",446436974.26,62291458.23,Australia,364721,Energy,2022
Corp_GGYMU_55,"['Customer_PUY', 'Customer_TJF', 'Customer_SGQ']",272727864.58,59293541.56,Canada,434314,Technology,2022
Corp_DNRXW_56,"['Customer_UEQ', 'Customer_LHY', 'Customer_ZBR']",292132715.25,33071904.41,France,213441,Retail,2024
Corp_ZEEPV_57,"['Customer_WLI', 'Customer_YSZ', 'Customer_SNA']",470703682.25,68647224.85,Germany,662808,Manufacturing,2022
Corp_ORUNT_58,"['Customer_FDS', 'Customer_SVP', 'Customer_ETR']",338284581.85,41572924.46,Japan,625484,Retail,2021
Corp_NYHAK_59,"['Customer_YXT', 'Customer_API', 'Customer_IBK']",318563424.15,49482104.15,Germany,44329,Manufacturing,2021
Corp_KKZBA_60,"['Customer_KWG', 'Customer_UVC', 'Customer_GEM']",325207510.19,54594089.89,UK,566028,Pharmaceuticals,2024
Corp_BEGAC_61,"['Customer_IAS', 'Customer_OGX', 'Customer_JHF']",78401075.93,11115435.03,Australia,799813,Retail,2024
Corp_JSTDI_62,"['Customer_QCW', 'Customer_FTW', 'Customer_RWY']",39261333.62,2348798.32,USA,752653,Retail,2023
Corp_IYCPM_63,"['Customer_WMW', 'Customer_ONM', 'Customer_KPJ']",488041600.73,93308536.81,Australia,155616,Manufacturing,2022
Corp_NQAJV_64,"['Customer_NDB', 'Customer_SBD', 'Customer_AQM']",300465814.37,39713207.17,USA,191791,Energy,2024
Corp_JNQCU_65,"['Customer_EXR', 'Customer_GGI', 'Customer_ESU']",333081276.64,77129081.3,France,916975,Technology,2024
Corp_RLDVM_66,"['Customer_DAD', 'Customer_XPY', 'Customer_ZHT']",197892559.51,38930106.27,Australia,741391,Automotive,2022
Corp_IGBFR_67,"['Customer_LZB', 'Customer_DHX', 'Customer_IQP']",176709646.71,21757880.32,USA,490633,Energy,2022
Corp_XMGPG_68,"['Customer_BXN', 'Customer_WHI', 'Customer_RXO']",190623225.43,44798569.29,France,52834,Energy,2023
Corp_CUFRE_69,"['Customer_BRV', 'Customer_SAI', 'Customer_NGN']",425721025.6,67159958.05,Canada,711101,Automotive,2024
Corp_RMBMO_70,"['Customer_BBF', 'Customer_ANI', 'Customer_PSR']",281897251.0,47640699.38,Germany,73932,Retail,2021
Corp_XSTGV_71,"['Customer_DXR', 'Customer_OMS', 'Customer_JXZ']",297154699.97,26517013.78,UK,822412,Automotive,2022
Corp_ZNCYH_72,"['Customer_TCX', 'Customer_NGE', 'Customer_HJE']",194881098.99,39814405.63,France,54845,Pharmaceuticals,2022
Corp_ICKVW_73,"['Customer_HEU', 'Customer_AVW', 'Customer_FYH']",112254700.49,21322944.42,Japan,80233,Manufacturing,2024
Corp_AOXOX_74,"['Customer_SYB', 'Customer_EKT', 'Customer_DYL']",87647473.06,7450144.65,Japan,806600,Pharmaceuticals,2023
Corp_SXSBQ_75,"['Customer_HYB', 'Customer_KFH', 'Customer_ERT']",85730816.0,16733094.54,India,855547,Retail,2024
Corp_JRJWO_76,"['Customer_CNC', 'Customer_FNV', 'Customer_RJP']",164686874.29,40094337.52,UK,379632,Energy,2024
Corp_YRDWL_77,"['Customer_HQS', 'Customer_YKO', 'Customer_AGB']",116516387.85,17740515.59,India,926891,Retail,2023
Corp_BEQVW_78,"['Customer_LSJ', 'Customer_UTO', 'Customer_BBO']",173519373.44,29650054.59,France,785930,Retail,2024
Corp_MPPXL_79,"['Customer_LBU', 'Customer_PPE', 'Customer_WIG']",118160430.48,6236037.83,UK,363715,Pharmaceuticals,2024
Corp_ORFBU_80,"['Customer_CJA', 'Customer_PRH', 'Customer_WYF']",433077238.85,86894537.2,Canada,196581,Energy,2023
Corp_ZJXYS_81,"['Customer_URD', 'Customer_BCB', 'Customer_OUD']",87977588.16,14370896.8,Japan,381578,Energy,2023
Corp_URTUY_82,"['Customer_SWQ', 'Customer_QGA', 'Customer_OPF']",482198712.89,98405901.52,Germany,406410,Energy,2023
Corp_YVADS_83,"['Customer_BYM', 'Customer_TVO', 'Customer_ADY']",438626888.58,98219813.11,Canada,514185,Pharmaceuticals,2021
Corp_CIPEM_84,"['Customer_AJX', 'Customer_WRT', 'Customer_POM']",281208708.11,63286436.68,India,531550,Technology,2021
Corp_TMTXJ_85,"['Customer_SDI', 'Customer_QDP', 'Customer_WKO']",371449127.44,85580177.15,India,858820,Automotive,2022
Corp_CGXMA_86,"['Customer_HKX', 'Customer_KUL', 'Customer_TLK']",390752119.01,44811964.04,Germany,498416,Automotive,2022
Corp_WSZOL_87,"['Customer_ZQK', 'Customer_MKJ', 'Customer_DEE']",30507799.09,2218278.03,USA,560230,Pharmaceuticals,2024
Corp_WEPDL_88,"['Customer_SDZ', 'Customer_FLU', 'Customer_OGS']",103520135.13,24676751.91,USA,92797,Technology,2023
Corp_QMJDO_89,"['Customer_JRP', 'Customer_VNL', 'Customer_FUI']",17446817.02,1967451.31,UK,182479,Automotive,2022
Corp_HEKZE_90,"['Customer_GGZ', 'Customer_MSG', 'Customer_BYU']",453024493.32,40627442.6,Canada,524675,Technology,2023
Corp_KGSPQ_91,"['Customer_KUA', 'Customer_HSQ', 'Customer_UTD']",438363865.75,90496794.71,France,375587,Automotive,2021
Corp_FKACU_92,"['Customer_ACD', 'Customer_MTJ', 'Customer_SXN']",260101033.79,34780815.72,USA,589336,Energy,2023
Corp_KIHZB_93,"['Customer_KXZ', 'Customer_OFT', 'Customer_VNS']",414432465.03,75733141.94,USA,364723,Pharmaceuticals,2022
Corp_DWGQN_94,"['Customer_NRS', 'Customer_XKU', 'Customer_XIF']",372066910.1,69761971.3,Germany,243413,Automotive,2023
Corp_IMPNO_95,"['Customer_RBC', 'Customer_CAE', 'Customer_AHP']",162293510.8,15688845.41,France,50294,Retail,2021
Corp_OLHRL_96,"['Customer_ATK', 'Customer_TUV', 'Customer_UNB']",16594785.14,3160727.01,USA,289819,Automotive,2023
Corp_AUUJL_97,"['Customer_RIO', 'Customer_EQW', 'Customer_XIV']",174659199.86,28231113.05,Germany,786134,Retail,2024
Corp_OINYT_98,"['Customer_QDX', 'Customer_MAZ', 'Customer_OCY']",449851205.25,95681550.92,Australia,777639,Technology,2024
Corp_ARZVC_99,"['Customer_DHK', 'Customer_AXR', 'Customer_LED']",489116520.39,101690037.14,USA,844152,Retail,2024
GlobalCorp._78,"['Customer_YTF', 'Customer_NHL', 'Customer_TGP']",119828027.29,-10977054.5,Japan,064854,Manufacturing,2024
GlobalCorp_194,"['Customer_CKK', 'Customer_BYW', 'Customer_OGS']",627672500.16,-30403543.99,Japan,220228,Retail,2020
GlobalCorp._71,"['Customer_MRO', 'Customer_JJK', 'Customer_NOH']",267442659.55,61657998.97,Canada,897780,Energy,2023
Corp_BAAUZV,"['Customer_MOC', 'Customer_CTJ', 'Customer_DZQ']",275309223.53,-24563884.42,Canada,192364,Manufacturing,2022
Corp_AZUTOH,"['Customer_UCG', 'Customer_UIX', 'Customer_AJG']",242162189.0,-20730359.65,Canada,046229,Automotive,2020
