corporate_name_S1,address,activity_places,top_suppliers,country,postal_code,industry_sector
Corp_TDZUW_0,378 Street_TIO Ave,"['Plant_ROL', 'Warehouse_LKK']","['Supplier_UGN', 'Supplier_KXD', 'Supplier_CDO']",France,395245,Manufacturing
Corp_ENQFW_1,439 Street_WSZ Ave,"['Plant_JAT', 'Warehouse_USM']","['Supplier_IOS', 'Supplier_BUM', 'Supplier_DXV']",UK,402518,Manufacturing
Corp_LWKTA_2,800 Street_DIR Ave,"['Plant_TCV', 'Warehouse_DNE']","['Supplier_CKG', 'Supplier_UXC', 'Supplier_HFX']",Australia,993536,Manufacturing
Corp_FFPWU_3,854 Street_GCL Ave,"['Plant_UDK', 'Warehouse_LUA']","['Supplier_XYJ', 'Supplier_DLA', 'Supplier_HWR']",USA,719230,Manufacturing
Corp_ZDCWJ_4,528 Street_VMW Ave,"['Plant_JGI', 'Warehouse_VMK']","['Supplier_ULC', 'Supplier_CJE', 'Supplier_HIH']",France,753855,Pharmaceuticals
Corp_RETZQ_5,363 Street_ATB Ave,"['Plant_LRM', 'Warehouse_YBB']","['Supplier_DJR', 'Supplier_CIO', 'Supplier_EIZ']",UK,791074,Energy
Corp_VZEND_6,763 Street_WOD Ave,"['Plant_UAA', 'Warehouse_GIN']","['Supplier_KAV', 'Supplier_TYK', 'Supplier_AVI']",UK,200653,Technology
Corp_TEQXD_7,920 Street_CFN Ave,"['Plant_EPV', 'Warehouse_CPA']","['Supplier_LOZ', 'Supplier_JAN', 'Supplier_PDR']",Japan,479094,Manufacturing
Corp_LSPKJ_8,157 Street_RGO Ave,"['Plant_NAR', 'Warehouse_DWD']","['Supplier_UNU', 'Supplier_TIE', 'Supplier_NWK']",UK,991139,Automotive
Corp_IDNOE_9,932 Street_KTN Ave,"['Plant_NAZ', 'Warehouse_PJT']","['Supplier_RAP', 'Supplier_DJM', 'Supplier_UHH']",UK,545270,Automotive
Corp_SOKJN_10,645 Street_KIQ Ave,"['Plant_XCC', 'Warehouse_ULN']","['Supplier_KUE', 'Supplier_VHF', 'Supplier_KZL']",USA,952509,Automotive
Corp_VWEVY_11,551 Street_NKH Ave,"['Plant_IKV', 'Warehouse_XWW']","['Supplier_BQC', 'Supplier_HKY', 'Supplier_PXK']",Germany,389101,Energy
Corp_XUNWH_12,925 Street_TBO Ave,"['Plant_VXT', 'Warehouse_NUA']","['Supplier_RIH', 'Supplier_SHZ', 'Supplier_QYQ']",Germany,110111,Pharmaceuticals
Corp_KUMRL_13,360 Street_JEU Ave,"['Plant_FRP', 'Warehouse_FBE']","['Supplier_WTL', 'Supplier_XVP', 'Supplier_WSX']",Australia,525520,Technology
Corp_QLWLQ_14,954 Street_BNQ Ave,"['Plant_MOK', 'Warehouse_ZUS']","['Supplier_EWB', 'Supplier_PFB', 'Supplier_JKF']",Canada,700148,Automotive
Corp_UHXQA_15,363 Street_AUD Ave,"['Plant_WDK', 'Warehouse_GCD']","['Supplier_RAZ', 'Supplier_VBH', 'Supplier_XJP']",Germany,636602,Pharmaceuticals
Corp_ALBFC_16,666 Street_QPL Ave,"['Plant_AVX', 'Warehouse_RBQ']","['Supplier_DXM', 'Supplier_IJX', 'Supplier_EQF']",France,349770,Energy
Corp_LEAFN_17,897 Street_NYH Ave,"['Plant_POG', 'Warehouse_FFI']","['Supplier_PGH', 'Supplier_QOB', 'Supplier_XUR']",India,544212,Automotive
Corp_DYDSQ_18,927 Street_CNV Ave,"['Plant_HLU', 'Warehouse_KCY']","['Supplier_PYZ', 'Supplier_DCU', 'Supplier_HAL']",USA,738580,Manufacturing
Corp_PZFOS_19,849 Street_HTJ Ave,"['Plant_FFB', 'Warehouse_CUK']","['Supplier_RMU', 'Supplier_EUD', 'Supplier_FSN']",France,120837,Manufacturing
